Gene,Count
Sobic.004G350300,339
Sobic.004G351700,3190
Sobic.004G353650,2
Sobic.004G354301,2147
Sobic.004G354700,1991
Sobic.004G357200,224
Sobic.004G359200,2604
Sobic.005G013600,136
Sobic.005G014000,31
Sobic.005G017500,1687
Sobic.005G018700,425
Sobic.005G019800,1515
Sobic.005G038700,66
Sobic.005G041000,18
Sobic.005G045200,1789
Sobic.005G046100,1919
Sobic.005G047200,12
Sobic.005G051200,778
Sobic.005G062000,831
Sobic.005G064600,1102
Sobic.005G073500,609
Sobic.005G086700,632
Sobic.005G100600,2304
Sobic.005G103100,78
Sobic.005G104800,3235
Sobic.005G111700,2802
Sobic.005G117400,4098
Sobic.005G120600,134
Sobic.005G131900,47
Sobic.005G132000,3093
Sobic.005G143400,814
Sobic.005G150900,2816
Sobic.005G155900,2626
Sobic.005G177800,1586
Sobic.005G200800,1053
Sobic.005G209100,3
Sobic.005G217200,364
Sobic.005G224700,44
Sobic.005G224800,2755
Sobic.005G229400,1919
Sobic.005G229500,16
Sobic.005G229600,844
Sobic.005G229700,2329
Sobic.005G229900,30
Sobic.005G230000,569
Sobic.006G002800,1849
Sobic.006G008800,1451
Sobic.006G009500,102
Sobic.006G010400,1659
Sobic.006G022000,442
Sobic.006G025000,388
Sobic.006G026250,648
Sobic.006G034900,4
Sobic.006G049900,1363
Sobic.006G051700,217
Sobic.006G051800,849
Sobic.006G058400,3
Sobic.006G058732,140
Sobic.006G065800,327
Sobic.006G066600,511
Sobic.006G074600,61
Sobic.006G076900,6
Sobic.006G083201,116
Sobic.006G087100,123
Sobic.006G089500,2691
Sobic.006G090700,640
Sobic.006G093700,1581
Sobic.006G093800,1682
Sobic.006G094500,316
Sobic.006G107400,1054
Sobic.006G107700,14
Sobic.006G118200,54
Sobic.006G119400,384
Sobic.006G120400,19
Sobic.006G126600,1507
Sobic.006G127900,675
Sobic.006G131800,1397
Sobic.006G133900,6438
Sobic.006G135100,1770
Sobic.006G148000,2155
Sobic.006G149600,658
Sobic.006G159100,162
Sobic.006G162800,3079
Sobic.006G163100,187
Sobic.006G163900,1693
Sobic.006G165100,2594
Sobic.006G166100,2875
Sobic.006G166300,17
Sobic.006G167800,1484
Sobic.006G167900,83
Sobic.006G168000,2764
Sobic.006G169200,133
Sobic.006G170100,1078
Sobic.006G172900,1388
Sobic.006G175700,262
Sobic.006G179600,2060
Sobic.006G180900,2585
Sobic.006G181600,14
Sobic.006G182300,56
Sobic.006G182800,4449
Sobic.006G183200,1562
Sobic.006G184700,1257
Sobic.006G188900,3276
Sobic.006G190400,2
Sobic.006G192100,1947
Sobic.006G202300,1250
Sobic.006G203400,131
Sobic.006G204300,1225
Sobic.006G206000,125
Sobic.006G210300,1955
Sobic.006G213900,8
Sobic.006G215050,658
Sobic.006G223300,1898
Sobic.006G228300,1686
Sobic.006G233500,3299
Sobic.006G240500,1781
Sobic.006G240700,2216
Sobic.006G245900,240
Sobic.006G247700,168
Sobic.006G254600,2633
Sobic.006G256200,1416
Sobic.006G256500,403
Sobic.006G259000,2400
Sobic.006G261800,1162
Sobic.006G262100,2904
Sobic.006G266600,626
Sobic.006G267900,2659
Sobic.006G278900,32
Sobic.006G279400,868
Sobic.006G281900,25
Sobic.007G000400,846
Sobic.007G013800,1841
Sobic.007G015500,665
Sobic.007G020500,903
Sobic.007G028700,1861
Sobic.007G031600,1149
Sobic.007G032100,3150
Sobic.007G033800,2849
Sobic.007G037100,3856
Sobic.007G039200,878
Sobic.007G047400,4489
Sobic.007G047700,1364
Sobic.007G049900,70
Sobic.007G050100,456
Sobic.007G050300,1545
Sobic.007G050500,1582
Sobic.007G051800,2250
Sobic.007G053700,671
Sobic.007G054400,111
Sobic.007G056700,1103
Sobic.007G059500,2243
Sobic.007G061100,1361
Sobic.007G062200,1607
Sobic.007G063200,206
Sobic.007G065300,2509
Sobic.007G071000,574
Sobic.007G076800,3
Sobic.007G077001,913
Sobic.007G077100,1621
Sobic.007G077200,223
Sobic.007G077300,983
Sobic.007G077466,300
Sobic.007G085300,1290
Sobic.007G092000,1201
Sobic.007G109900,532
Sobic.007G111600,851
Sobic.007G118301,2085
Sobic.007G124100,1334
Sobic.007G126400,2239
Sobic.007G127800,299
Sobic.007G132000,1158
Sobic.007G132600,838
Sobic.007G135900,299
Sobic.007G137300,1148
Sobic.007G139200,1462
Sobic.007G141600,832
Sobic.007G142700,1513
Sobic.007G146500,2
